


.DATE		Aug. 92
.STYLE		CURSIVE
.WRITER_ID	jhkim
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Jeong-hyun
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 47
	25 48
	28 49
	31 49
	32 46
	32 43
	30 40
	28 34
	26 27
	25 24
	24 20
	24 17
	23 14
	23 11
	22 7
	21 3
	21 0
	19 3
	20 7
	21 11
	21 14
	23 18
	25 21
	27 26
	29 31
	31 35
	34 41
	37 45
	38 48
	41 55
	44 57
	46 60
	49 61
	52 57
	53 53
	53 50
	53 47
	52 43
	51 39
	45 34
	41 30
	38 29
	35 27
	31 26
	28 26
	26 29
	28 32
	31 33
	34 34
	37 34
	41 34
	45 34
	50 34
	54 34
	56 30
	56 27
	55 23
	52 18
	47 13
	43 9
	38 6
	35 6
	31 6
	28 8
	28 9
.PEN_UP
.PEN_DOWN
	60 45
	55 46
	51 45
	48 44
	44 42
	39 39
	34 36
	31 33
	29 30
	27 27
	27 24
	27 20
	27 17
	27 13
	30 6
	33 2
	36 1
	39 0
	43 0
	47 0
	50 0
	53 0
	58 1
	62 3
	65 5
	76 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	50 74
	52 77
	54 80
	57 82
	58 85
	58 88
	59 92
	59 95
	56 96
	51 95
	47 94
	43 92
	36 88
	32 85
	31 82
	28 78
	27 75
	26 72
	26 68
	25 65
	25 61
	25 55
	25 52
	25 49
	28 47
	32 47
	38 49
	40 52
	44 55
	47 59
	49 63
	50 67
	51 71
	54 75
	54 78
	56 82
	55 78
	54 73
	52 69
	51 66
	50 61
	49 58
	49 55
	48 51
	48 48
	48 45
	48 41
	48 37
	47 34
	47 30
	47 26
	47 22
	47 17
	47 14
	47 9
	46 6
	44 3
	41 0
	38 0
	35 3
	32 6
	31 11
	31 14
	30 21
	30 24
	32 27
	35 29
	39 30
	44 30
	48 30
	55 29
.PEN_UP
.PEN_DOWN
	11 43
	14 43
	17 43
	24 45
	27 45
	31 45
	34 45
	35 41
	35 36
	33 32
	31 29
	31 26
	28 21
	26 16
	25 13
	23 9
	20 5
	20 2
	20 0
.PEN_UP
.PEN_DOWN
	65 52
	65 49
	63 46
	62 41
	60 38
	59 32
	56 25
	53 22
	53 16
	50 13
	50 9
	49 6
	48 3
	47 6
	47 10
	46 14
	45 17
	44 21
	42 25
	39 28
	36 26
	34 23
	32 20
	31 17
	30 14
	30 11
	34 11
	37 11
	46 11
	49 11
	53 11
	56 11
	59 10
	64 10
.PEN_UP
.PEN_DOWN
	51 4
	48 7
	48 10
