


.DATE		Jul. 93
.STYLE		PRINTED
.WRITER_ID	ktum
.COUNTRY	Korea
.HAND		R
.AGE		19
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				KyungTae
	Last name:				Um
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 3
	29 4
	32 6
	35 8
	38 11
	40 14
	44 17
	45 20
	47 23
	49 26
	50 29
	51 33
	53 36
	55 40
	56 43
	57 46
	58 49
	58 52
	58 55
	58 58
	57 61
	56 64
	59 65
	59 68
	56 68
	54 65
	51 62
	49 59
	49 56
	47 51
	46 48
	46 45
	44 42
	44 39
	42 35
	42 32
	40 29
	40 26
	39 23
	39 20
	39 17
	39 14
	39 11
	38 8
	41 6
	43 3
	46 1
	49 1
	52 0
	52 3
	53 6
	53 9
	53 12
	53 15
	53 18
	56 18
	59 18
	62 18
	65 18
	67 15
	70 14
	74 14
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 31
	46 34
	43 34
	40 34
	37 32
	36 29
	34 26
	33 23
	31 20
	30 17
	29 14
	29 11
	28 8
	28 5
	29 2
	32 0
	35 0
	38 2
	41 2
	43 5
	44 8
	47 11
	49 15
	51 18
	53 22
	53 25
	55 28
	56 31
	57 34
	58 37
	59 40
	60 43
	61 46
	63 49
	65 52
	66 55
	68 58
	69 61
	70 64
	67 61
	64 59
	63 56
	62 53
	62 50
	60 47
	59 44
	58 41
	57 38
	56 35
	56 32
	55 29
	54 26
	54 23
	53 20
	53 17
	53 14
	53 11
	54 8
	57 4
	60 4
	63 3
	66 4
	69 5
	73 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	56 82
	53 83
	50 82
	46 80
	43 76
	40 73
	39 70
	37 66
	35 63
	35 60
	33 56
	31 53
	29 50
	29 47
	33 46
	36 48
	40 49
	43 49
	45 52
	48 56
	50 59
	54 62
	57 65
	59 68
	62 71
	63 74
	60 76
	57 74
	56 71
	55 68
	54 64
	53 60
	53 57
	52 53
	51 49
	51 46
	49 41
	49 37
	47 34
	47 31
	45 28
	45 25
	43 22
	41 19
	41 16
	39 12
	36 9
	35 6
	34 3
	31 0
	28 0
	28 4
	29 7
	31 10
	33 13
	35 16
	38 18
	40 22
	43 24
	46 26
	49 28
	52 29
	56 32
	59 33
	62 33
	66 34
	69 35
	74 35
	77 37
.PEN_UP
.PEN_DOWN
	17 31
	21 31
	24 32
	27 34
	30 35
	33 37
	37 39
	40 42
	43 44
	46 46
	50 49
	53 52
	55 55
	58 57
	60 60
	63 64
	64 67
	65 70
	66 73
	66 76
	66 79
	63 79
	59 79
	56 78
	53 76
	52 73
	51 69
	49 66
	48 63
	47 59
	45 56
	44 53
	42 50
	40 46
	38 42
	36 39
	35 36
	34 33
	32 29
	31 26
	30 23
	28 20
	27 17
	25 14
	23 11
	22 8
	23 11
	26 13
	28 17
	31 18
	33 21
	36 22
	39 24
	42 27
	46 29
	49 30
	53 32
	56 31
	56 28
	55 25
	55 22
	53 19
	53 15
	52 12
	51 9
	51 6
	53 3
	56 1
	59 0
	62 0
	65 0
	68 1
	71 2
	75 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	21 21
	23 24
	26 27
	29 29
	32 30
	35 32
	39 33
	42 35
	42 32
	42 29
	42 25
	40 22
	38 18
	37 15
	34 12
	32 9
	30 6
	33 8
	36 12
	40 14
	43 18
	46 19
	50 23
	52 26
	55 27
	57 30
	60 31
	63 34
	65 31
	64 28
	64 25
	62 22
	62 19
	61 16
	59 13
	56 11
	55 8
	56 11
	58 14
	62 18
	66 21
	69 23
	72 25
	76 27
	79 28
	80 25
	80 22
	80 19
	79 16
	79 13
	79 10
	79 6
	79 3
	82 0
	85 0
	88 1
	91 2
.PEN_UP
.PEN_DOWN
	21 20
	24 23
	26 26
	29 28
	31 31
	35 33
	38 35
	41 35
	44 34
	45 31
	45 28
	43 24
	40 21
	40 18
	38 15
	36 12
	35 9
	33 6
	30 5
	29 2
	32 3
	33 6
	36 8
	39 11
	42 13
	44 16
	47 18
	51 21
	52 24
	56 25
	59 27
	62 28
	64 25
	64 21
	62 17
	61 14
	61 11
	61 8
	61 5
	64 3
	67 1
	70 0
	73 0
	77 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 33
	29 34
	31 37
	34 40
	37 42
	40 44
	43 48
	46 49
	49 53
	51 56
	54 58
	56 61
	58 64
	57 61
	55 58
	52 53
	51 50
	49 47
	46 43
	44 40
	41 37
	39 34
	37 31
	34 27
	33 23
	30 19
	29 16
	27 12
	26 9
	25 6
	23 3
	21 0
	22 3
	25 6
	28 9
	29 13
	32 14
	35 18
	39 21
	42 24
	45 27
	49 31
	51 35
	55 38
	58 42
	62 44
	65 46
	69 48
	72 49
	75 48
	77 45
	80 43
	80 39
	77 36
	74 33
	71 32
	67 31
	64 31
	61 30
	57 31
	54 33
	51 34
	54 34
	58 33
	61 31
	62 28
	64 24
	65 21
	67 18
	70 18
	73 18
	76 18
	79 18
	84 17
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	28 1
	31 3
	34 5
	37 7
	40 9
	43 11
	46 15
	47 18
	49 21
	50 24
	51 27
	54 29
	57 29
	57 26
	56 23
	56 20
	56 17
	59 15
	62 15
	65 14
	68 14
	71 13
	73 16
	70 14
	68 11
	64 11
	62 8
	60 5
	62 2
	66 0
	69 0
	72 0
	75 1
	77 3
.PEN_UP
.PEN_DOWN
	25 3
	28 4
	31 5
	35 7
	40 10
	43 11
	46 14
	49 18
	50 21
	53 22
	55 27
	58 30
	60 33
	63 33
	66 35
	66 32
	66 29
	66 26
	65 23
	62 19
	59 16
	57 13
	55 10
	51 7
	48 6
	45 6
	42 5
	39 6
	39 9
	42 10
	44 7
	47 5
	50 2
	53 1
	56 1
	59 1
	62 0
	65 0
	68 1
	72 1
.PEN_UP
.PEN_DOWN
	16 0
	19 3
	22 5
	24 8
	27 11
	30 13
	33 17
	36 20
	37 24
	39 28
	41 32
	42 37
	44 40
	46 43
	47 46
	50 48
	47 48
	47 45
	45 42
	42 40
	41 37
	40 34
	38 31
	38 28
	38 25
	37 22
	37 19
	39 16
	41 13
	44 12
	47 10
	50 9
	52 6
.PEN_UP
.PEN_DOWN
	21 31
	25 30
	28 29
	31 29
	36 29
	40 29
	44 29
	47 29
	50 29
	53 30
	51 29
.PEN_UP
.PEN_DOWN
	7 9
	10 10
	13 13
	16 15
	18 18
	21 21
	24 24
	27 27
	30 30
	33 32
	37 34
	40 35
	40 32
	37 30
	35 27
	33 24
	31 21
	29 18
	26 15
	25 12
	22 8
	21 5
	22 2
	25 1
	28 1
	31 2
	34 3
	37 5
	40 7
	41 10
	45 13
	46 16
	49 17
	49 21
	52 24
	54 27
	56 30
	57 33
	54 30
	52 27
	51 24
	50 21
	49 18
	49 15
	47 12
	46 9
	45 6
	45 3
	48 1
	51 0
	53 2
.PEN_UP
.PEN_DOWN
	18 27
	21 29
	24 31
	28 34
	31 35
	35 35
	39 37
	42 35
	42 31
	42 28
	41 25
	40 22
	38 19
	37 16
	34 13
	33 10
	32 6
	32 3
	35 1
	38 0
	41 0
	44 0
	48 1
	50 4
	53 7
	53 10
	55 14
	55 17
	55 20
	55 23
	55 26
	55 29
	59 32
	61 35
	64 38
	67 40
	69 43
	72 43
	75 42
	78 40
	81 37
	84 35
	88 35
.PEN_UP
.PEN_DOWN
	20 32
	23 32
	26 34
	31 36
	34 37
	37 37
	40 37
	43 37
	42 34
	40 30
	35 26
	34 22
	31 19
	29 16
	28 13
	28 10
	28 6
	27 3
	30 1
	34 1
	37 3
	41 5
	44 7
	47 11
	50 12
	51 16
	54 19
	57 22
	59 25
	62 27
	65 29
	68 31
	71 33
	68 32
	64 28
	60 26
	59 23
	57 20
	55 17
	54 14
	54 11
	53 8
	52 5
	52 2
	55 1
	59 0
	63 1
	66 4
	69 6
	70 9
	72 12
	75 14
	77 17
	79 20
	80 23
	82 26
	85 26
	88 26
	89 23
	90 22
.PEN_UP
.PEN_DOWN
	20 33
	23 34
	27 35
	30 36
	33 36
	36 36
	39 36
	42 36
	44 33
	43 30
	42 27
	41 24
	40 21
	40 18
	40 15
	40 12
	41 9
	43 5
	44 2
	48 1
	51 0
	55 0
	58 2
	59 3
.PEN_UP
.PEN_DOWN
	61 35
	58 33
	55 31
	52 28
	49 27
	46 25
	43 24
	40 20
	33 19
	30 17
	27 16
	23 15
	20 13
	17 11
	16 8
	19 8
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	40 61
	43 62
	46 62
	49 62
	53 62
	56 62
	59 64
	62 64
	63 61
	60 59
	57 56
	54 54
	51 52
	49 49
	46 48
	43 46
	40 45
	37 45
	40 45
	43 46
	46 46
	49 46
	51 43
	52 39
	52 36
	53 33
	53 30
	53 27
	51 24
	49 21
	48 18
	47 15
	46 12
	45 9
	43 6
	40 4
	36 2
	33 0
	30 0
	27 0
	26 3
	26 6
	27 9
	31 12
	32 15
	35 17
	38 19
	41 20
	45 22
	48 23
	51 25
	54 26
	57 28
	61 29
	64 31
	67 32
	70 34
	73 34
	77 36
	80 37
	85 37
	88 38
	91 38
.PEN_UP
.PEN_DOWN
	56 38
	53 38
	50 38
	47 35
	45 32
	42 29
	42 26
	39 24
	37 20
	35 17
	34 14
	33 11
	32 8
	32 5
	30 2
	33 0
	36 1
	39 2
	42 5
	44 8
	47 11
	50 13
	52 16
	53 19
	54 22
	56 25
	58 28
	61 31
	62 34
	59 33
	57 30
	55 27
	54 24
	53 21
	53 18
	52 15
	53 12
	53 9
	56 7
	56 4
	60 2
	63 3
