


.DATE		Jul. 93
.STYLE		PRINTED
.WRITER_ID	swlee
.COUNTRY	Korea
.HAND		R
.AGE		20
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				SoonWoong
	Last name:				Lee
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	65 30
	64 33
	61 33
	58 31
	55 28
	52 26
	49 23
	46 19
	44 16
	42 13
	41 9
	41 5
	42 2
	45 0
	48 1
	51 3
	53 7
	57 11
	58 14
	60 17
	62 20
	62 23
	64 26
	63 22
	62 19
	61 16
	61 13
	61 10
	61 7
	64 5
	70 7
	74 9
	77 11
	80 12
	83 14
	87 17
	88 19
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	59 28
	57 31
	54 33
	51 33
	48 33
	43 30
	40 27
	37 25
	34 21
	32 18
	30 15
	30 10
	30 7
	32 4
	35 1
	39 0
	42 0
	47 1
	50 2
	54 4
	57 6
	60 8
	63 11
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	32 13
	35 11
	39 11
	42 13
	45 14
	48 16
	51 18
	54 21
	57 24
	57 27
	57 30
	56 33
	53 35
	50 35
	47 35
	44 34
	40 31
	37 28
	35 25
	33 22
	31 18
	30 14
	30 11
	30 8
	33 5
	35 2
	41 1
	44 0
	48 0
	52 0
	55 0
	59 2
	64 3
	69 5
.PEN_UP
.PEN_DOWN
	74 69
	73 72
	70 74
	67 75
	64 74
	61 71
	58 68
	57 64
	55 61
	54 56
	52 51
	52 48
	51 45
	50 42
	50 39
	50 36
	49 31
	49 26
	48 22
	47 17
	46 13
	44 9
	41 4
	38 1
	37 0
.PEN_UP
.PEN_DOWN
	38 42
	42 42
	46 43
	49 43
	54 43
	57 43
	60 43
	67 44
	70 44
	75 44
	79 44
	80 44
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	47 59
	45 55
	42 49
	40 44
	38 39
	36 36
	35 33
	34 30
	33 27
	33 24
	30 18
	28 13
	27 10
	26 7
	24 4
	23 0
	24 4
	26 7
	28 10
	30 13
	32 16
	34 19
	37 22
	40 25
	43 27
	47 29
	50 29
	50 26
	50 23
	49 19
	48 16
	46 12
	46 8
	46 5
	49 3
	53 3
	57 4
	60 5
	64 7
	67 8
	72 11
	77 14
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	27 11
	30 12
	33 14
	36 16
	39 18
	42 20
	44 23
	48 28
	51 32
	54 37
	58 43
	59 46
	61 50
	61 54
	62 57
	62 62
	63 65
	63 68
	62 71
	61 74
	58 75
	55 74
	51 71
	48 67
	45 63
	44 60
	40 54
	37 49
	36 46
	34 43
	33 39
	32 36
	31 33
	30 29
	30 26
	30 22
	30 14
	31 9
	33 6
	36 3
	39 1
	42 0
	48 0
	52 1
	56 3
	60 6
	63 8
.PEN_UP
.PEN_DOWN
	19 13
	21 16
	24 19
	27 21
	30 23
	33 25
	37 28
	41 29
	43 26
	42 23
	39 20
	37 16
	34 12
	31 9
	29 6
	26 3
	23 0
	23 3
	25 6
	27 9
	29 13
	33 17
	35 20
	38 22
	41 24
	44 26
	47 27
	48 24
	48 21
	47 18
	46 15
	45 12
	43 9
	41 6
	38 3
	36 0
	38 3
	42 6
	45 9
	48 13
	51 15
	53 18
	56 21
	58 24
	59 21
	58 17
	58 14
	58 11
	58 8
	58 5
	59 2
	63 0
	66 1
	70 3
	73 5
	77 7
	80 8
	83 10
.PEN_UP
.PEN_DOWN
	30 26
	33 27
	36 29
	39 29
	42 29
	44 26
	44 21
	42 17
	40 14
	37 11
	35 8
	32 6
	30 3
	30 6
	32 9
	35 12
	38 15
	40 18
	43 21
	46 24
	49 27
	52 29
	55 29
	56 26
	55 23
	54 20
	53 17
	51 13
	49 9
	48 6
	48 3
	50 0
	54 0
	57 0
	60 1
	64 2
	67 3
	71 5
	75 7
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	57 29
	57 32
	56 35
	53 35
	50 35
	47 35
	44 34
	41 33
	38 31
	35 28
	35 25
	36 22
	39 20
	42 18
	45 16
	48 14
	51 12
	52 9
	52 6
	51 3
	48 1
	45 0
	41 1
	36 3
	34 6
	32 9
	32 13
	31 18
.PEN_UP
.PEN_DOWN
	36 32
	40 32
	44 31
	47 31
	50 31
	55 31
	58 31
	61 32
.PEN_UP
.PEN_DOWN
	61 61
	59 57
	57 54
	55 50
	52 46
	50 43
	46 38
	42 33
	39 27
	38 24
	36 21
	36 18
	35 13
	35 9
	35 6
	36 3
	40 0
	44 0
	47 0
	50 1
	51 2
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	40 33
	40 30
	40 26
	40 23
	40 20
	40 17
	40 13
	40 10
	40 6
	41 3
	41 0
	44 1
	47 4
	49 7
	53 10
	56 15
	60 20
	62 23
	66 28
	68 32
	69 35
	69 38
	69 37
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	53 39
	50 37
	47 33
	43 29
	41 26
	38 24
	32 17
	28 13
	24 9
	21 6
	18 3
	15 0
	14 3
	16 5
.PEN_UP
.PEN_DOWN
	28 36
	30 32
	31 28
	34 24
	36 21
	40 16
	43 12
	47 8
	51 5
	53 2
	56 0
	57 3
.PEN_UP
.PEN_DOWN
	45 70
	44 67
	43 63
	42 60
	41 56
	41 53
	41 50
	41 47
	41 43
	44 44
	48 46
	51 50
	54 53
	56 56
	59 60
	61 63
	63 66
	65 70
	65 73
	65 76
	66 73
	64 70
	63 66
	63 63
	62 59
	60 54
	59 49
	59 46
	57 42
	57 39
	56 35
	55 31
	54 27
	54 23
	53 20
	51 12
	49 8
	48 5
	46 2
	43 0
	41 3
	40 6
	39 10
	39 13
	40 18
	42 22
	45 25
	47 28
	50 32
	52 36
	56 39
	60 42
	64 46
	67 49
	74 52
	84 59
.PEN_UP
.PEN_DOWN
	33 28
	39 29
	42 29
	46 29
	49 30
	52 31
	52 28
	49 26
	48 23
	45 20
	42 16
	37 11
	36 8
	33 6
	32 3
	33 0
	36 0
	39 1
	42 1
	46 1
	49 2
	52 2
	55 1
	58 0
	57 0
.PEN_UP
.PEN_DOWN
	36 17
	39 17
	42 17
	45 17
	48 17
	51 17
.PEN_UP
.PEN_DOWN
	53 26
	52 29
	49 31
	45 31
	42 29
	39 27
	35 24
	32 21
	29 18
	27 14
	26 11
	26 7
	26 4
	27 1
	30 0
	33 1
	36 2
	38 5
	41 7
	45 12
	47 15
	49 18
	50 21
	52 24
	54 27
	55 30
	54 26
	52 23
	51 19
	49 15
	48 11
	48 8
	49 4
	52 1
	56 1
	60 2
	63 4
	68 7
	73 9
	76 12
	80 13
	82 15
.PEN_UP
.PEN_DOWN
	47 71
	44 70
	43 67
	42 63
	39 55
	38 50
	37 47
	36 43
	35 40
	34 36
	33 33
	32 30
	32 27
	31 24
	30 21
	29 16
	27 12
	26 7
	25 3
	24 0
	24 3
	25 6
	26 9
	27 12
	28 15
	30 19
	31 22
	33 26
	34 29
	36 33
	39 36
	42 37
	47 38
	50 39
	54 39
	57 37
	59 33
	61 30
	63 26
	63 22
	63 17
	62 14
	57 10
	54 8
	50 5
	47 5
	42 5
	39 5
	36 6
	31 7
	27 9
	26 13
	26 14
.PEN_UP
.PEN_DOWN
	53 26
	53 29
	50 31
	46 31
	42 30
	38 29
	33 27
	29 24
	26 19
	24 16
	24 12
	25 8
	30 3
	35 1
	38 0
	41 0
	44 0
	48 0
	51 1
	54 1
	61 3
	66 5
.PEN_UP
.PEN_DOWN
	60 29
	58 32
	55 34
	52 34
	49 34
	45 33
	41 31
	37 28
	32 23
	30 19
	29 16
	29 13
	29 10
	31 7
	34 5
	37 3
	41 3
	45 4
	48 5
	52 6
	57 9
	59 11
.PEN_UP
.PEN_DOWN
	73 64
	71 60
	68 55
	67 52
	66 49
	65 46
	62 39
	61 36
	59 32
	58 28
	56 25
	56 22
	54 19
	54 16
	53 12
	53 6
	54 2
	57 0
	60 0
	64 1
	68 2
	72 4
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	62 68
	63 71
	63 74
	61 77
	58 77
	55 76
	51 74
	48 71
	44 68
	39 63
	37 59
	36 55
	36 52
	38 49
	41 49
	44 50
	47 51
	51 53
	54 56
	59 61
	60 65
	61 68
	63 71
	63 74
	65 77
	63 74
	61 70
	60 66
	59 61
	57 58
	56 55
	53 49
	53 45
	52 42
	50 38
	49 35
	47 30
	47 26
	46 23
	45 19
	44 16
	43 13
	42 8
	40 4
	38 1
	34 0
	30 3
	28 6
	27 11
	27 14
	27 17
	27 21
	28 24
	30 27
	31 30
	34 33
	38 38
	41 40
	45 43
	49 45
	53 47
	57 50
	62 52
	67 54
	72 56
	77 58
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	53 51
	52 48
	51 44
	50 40
	50 37
	49 33
	48 30
	46 25
	44 22
	42 17
	40 14
	38 10
	35 6
	32 3
	28 0
	25 0
	22 1
	19 2
	17 5
	15 8
	15 13
	15 17
.PEN_UP
.PEN_DOWN
	57 71
	61 69
	64 67
	68 66
	71 66
	70 66
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	22 2
	25 1
	28 2
	31 3
	34 6
	38 9
	41 12
	44 16
	47 20
	50 25
