


.DATE		Aug. 92
.STYLE		PRINTED
.WRITER_ID	jwkim
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				JinWoo
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
	47 44
	46 47
	43 49
	40 50
	37 51
	34 51
	31 49
	28 48
	24 45
	19 40
	15 35
	12 31
	10 26
	9 23
	9 20
	9 15
	9 12
	9 7
	12 3
	15 1
	18 0
	22 0
	26 3
	30 7
	32 10
	36 15
	37 18
	39 21
	41 24
	42 27
	44 30
	45 33
	47 38
	49 41
	50 44
	47 40
	47 36
	47 33
	47 28
	48 24
	48 21
	51 17
	55 16
	59 16
	63 17
	66 18
	68 19
.PEN_UP
.PEN_DOWN
	31 72
	32 67
	32 64
	33 61
	33 57
	33 53
	33 49
	34 44
	34 39
	34 34
	35 24
	35 19
	36 15
	36 11
	37 8
	37 4
	37 0
	36 3
	36 6
	35 11
	35 14
	35 17
	36 20
	36 23
	38 30
	41 33
	44 37
	47 39
	50 39
	54 36
	55 33
	55 30
	55 26
	55 23
	55 19
	55 16
	54 13
	53 10
	52 6
	48 4
	45 4
	41 7
	38 11
	35 13
	32 15
	31 17
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	46 24
	45 27
	42 30
	37 32
	33 32
	30 31
	27 29
	24 25
	22 20
	21 15
	21 9
	22 6
	24 2
	29 0
	33 0
	37 1
	42 5
	45 9
	46 12
	46 15
	47 19
	48 22
	48 26
	48 30
	48 35
	49 39
	50 44
	51 53
	53 57
	54 61
	55 64
	56 68
	58 71
	58 74
	55 72
	53 67
	53 64
	52 60
	51 55
	50 50
	50 46
	49 37
	49 32
	49 27
	50 23
	50 18
	51 15
	52 11
	53 8
	56 4
	59 3
	64 3
	68 4
	71 5
	71 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	77 80
	76 83
	75 87
	74 90
	71 92
	68 93
	65 92
	62 90
	58 87
	57 83
	56 78
	55 75
	55 72
	55 63
	55 58
	55 53
	55 48
	56 42
	56 38
	57 33
	58 29
	58 25
	58 21
	58 17
	58 14
	58 9
	57 6
	55 3
	52 2
	47 0
	44 0
	42 3
	41 6
	38 8
	36 12
.PEN_UP
.PEN_DOWN
	39 34
	43 36
	46 36
	50 36
	53 36
	57 36
	60 36
	65 36
	69 36
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	51 85
	54 86
	57 86
	57 85
.PEN_UP
.PEN_DOWN
	56 45
	56 40
	56 35
	56 30
	56 26
	55 21
	54 13
	53 9
	52 6
	51 3
	50 0
	47 0
	44 0
	40 0
	36 0
	33 1
	30 3
	28 6
	27 9
	26 13
.PEN_UP
.PEN_DOWN
	37 75
	37 70
	37 65
	37 59
	37 53
	38 41
	38 34
	39 28
	39 22
	39 17
	40 13
	41 10
	41 7
	42 3
	42 0
	42 1
.PEN_UP
.PEN_DOWN
	60 58
	58 54
	54 51
	51 46
	48 42
	44 37
	39 31
	36 27
	34 24
	39 22
	43 20
	46 19
	50 17
	53 15
	56 14
	60 12
	63 10
	69 6
	72 5
	70 8
.PEN_UP
.PEN_DOWN
	34 10
	36 13
	39 17
	43 21
	45 26
	46 29
	48 32
	48 36
	49 40
	50 44
	51 49
	52 54
	54 63
	55 66
	55 69
	55 72
	55 75
	52 77
	50 74
	48 70
	46 65
	45 62
	44 59
	43 55
	43 51
	42 40
	42 34
	42 28
	42 23
	42 18
	43 13
	44 9
	45 5
	49 1
	52 0
	56 0
	59 2
	59 3
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	14 24
	16 27
	19 32
	22 36
	25 41
	28 44
	31 47
	33 50
	37 51
	40 51
	41 48
	42 44
	42 41
	42 37
	42 29
	42 26
	42 23
	41 19
	41 16
	40 11
	39 7
	38 3
	37 0
	38 4
	39 7
	41 11
	42 14
	43 17
	44 21
	45 25
	46 29
	47 33
	49 36
	50 39
	51 44
	54 47
	57 47
	58 42
	58 39
	58 36
	58 32
	58 28
	58 24
	57 21
	57 17
	57 14
	57 11
	58 7
	61 6
	65 9
	68 12
	70 16
	69 18
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	26 85
	26 81
	26 76
	27 70
	28 61
	29 55
	29 49
	30 44
	31 39
	31 34
	31 29
	31 24
	31 20
	31 16
	30 12
	30 9
	30 4
	29 0
	31 3
.PEN_UP
.PEN_DOWN
	28 70
	31 72
	34 74
	38 74
	42 74
	45 72
	48 69
	49 64
	49 61
	49 57
	48 54
	45 50
	41 45
	37 41
	33 38
	29 37
	26 37
	24 38
.PEN_UP
.PEN_DOWN
	45 75
	44 78
	42 81
	39 81
	36 79
	32 76
	30 73
	29 70
	27 66
	27 63
	29 60
	33 60
	36 62
	40 64
	43 67
	45 70
	46 73
	46 70
	46 67
	45 59
	45 54
	45 48
	45 42
	44 35
	43 28
	42 23
	42 17
	42 13
	42 9
	42 6
	44 0
	47 1
	50 4
	52 7
	54 11
	54 15
	54 20
	53 25
	51 29
	48 31
	45 33
	42 33
	39 32
	44 31
	49 34
	54 36
	58 38
	62 39
	65 39
.PEN_UP
.PEN_DOWN
	33 39
	34 35
	35 32
	36 28
	37 24
	38 20
	38 16
	39 12
	39 8
	39 5
	39 1
	36 0
	35 3
	34 7
	33 10
	33 14
	33 17
	33 24
	36 28
	40 31
	43 32
	48 32
	51 32
	56 32
	62 32
	65 32
.PEN_UP
.PEN_DOWN
	51 42
	48 39
	44 36
	42 33
	39 29
	37 26
	37 22
	41 18
	46 14
	50 11
	53 8
	55 4
	54 1
	51 0
	47 0
	43 0
	39 1
	36 2
	33 2
	30 2
	32 3
.PEN_UP
.PEN_DOWN
	33 24
	37 25
	40 25
	46 27
	50 27
	54 28
	58 28
	61 28
	64 29
	67 29
	70 29
	67 29
.PEN_UP
.PEN_DOWN
	55 45
	53 41
	51 35
	50 32
	49 28
	48 25
	47 21
	47 17
	46 13
	46 10
	46 7
	47 3
	50 0
	53 0
	56 1
	60 3
	64 6
	67 7
	70 9
	71 10
.PEN_UP
.PEN_DOWN
	29 28
	29 23
	29 20
	29 15
	29 12
	30 9
	31 3
	32 0
	36 0
	40 2
	42 5
	47 11
	49 16
	50 20
	51 23
	52 28
	53 31
	54 34
	53 30
	52 25
	52 22
	52 19
	52 16
	52 13
	53 9
	55 5
	58 4
	61 4
	65 6
	66 10
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	31 45
	31 42
	31 39
	31 36
	31 32
	31 27
	31 23
	31 19
	31 15
	31 11
	31 8
	31 3
	32 0
	35 5
	35 9
	36 13
	37 17
	39 20
	42 20
	42 17
	43 13
	43 9
	44 6
	45 2
	48 1
	50 4
	52 7
	53 13
	53 18
	53 23
	53 26
	53 29
	53 34
	53 37
	52 40
	52 41
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	63 33
	62 36
	59 37
	55 37
	50 36
	47 34
	45 31
	42 26
	41 23
	40 20
	39 17
	38 14
	37 6
	38 3
	40 0
	43 0
	46 0
	49 1
	53 5
	56 9
	59 13
	62 18
	64 23
	66 27
	67 30
	67 33
	64 32
	62 29
	62 26
	62 22
	62 17
	64 14
	65 11
	68 9
	71 8
	74 8
	76 9
.PEN_UP
.PEN_DOWN
	35 76
	35 67
	35 61
	35 55
	35 49
	34 42
	34 37
	34 32
	34 27
	33 21
	33 16
	33 11
	33 4
	32 0
	31 3
	30 7
	30 11
	30 14
	31 17
	31 20
	34 24
	37 28
	41 30
	45 30
	49 30
	51 27
	52 24
	52 19
	52 16
	52 13
	49 6
	47 3
	43 2
	40 2
	37 3
	34 6
	32 11
	33 14
.PEN_UP
.PEN_DOWN
	47 20
	48 23
	48 27
	47 30
	44 31
	40 29
	34 23
	32 20
	31 17
	31 14
	31 11
	31 8
	33 4
	37 1
	41 0
	46 0
	49 0
	53 2
	56 4
	59 6
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	46 13
	51 15
	56 16
	60 18
	64 19
	67 22
	69 25
	69 28
	65 30
	60 30
	55 28
	51 25
	49 19
	49 16
	49 13
	50 8
	53 4
	57 1
	60 0
	64 0
	67 1
	69 2
.PEN_UP
.PEN_DOWN
	62 91
	61 94
	58 95
	55 95
	51 93
	49 90
	47 86
	46 82
	45 77
	45 73
	44 63
	44 57
	43 51
	43 45
	42 40
	41 35
	41 29
	40 24
	40 20
	40 16
	39 12
	38 6
	36 3
	35 0
	32 0
	29 0
	26 0
	22 2
.PEN_UP
.PEN_DOWN
	34 44
	40 45
	43 46
	48 47
	53 48
	56 48
	57 48
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	46 64
	45 60
	45 55
	45 49
	45 38
	45 32
	44 27
	44 22
	44 17
	44 13
	43 10
	43 7
	43 4
	41 2
.PEN_UP
.PEN_DOWN
	57 33
	53 31
	50 29
	46 25
	43 23
	42 20
	42 16
	45 14
	48 11
	51 7
	54 4
	58 2
	61 0
	62 2
.PEN_UP
.PEN_DOWN
	37 0
	39 3
	43 6
	45 9
	48 11
	50 14
	52 17
	54 21
	56 25
	59 34
	61 39
	62 44
	63 49
	64 53
	64 57
	64 61
	64 64
	63 67
	59 67
	56 65
	53 60
	52 57
	50 53
	50 49
	50 44
	50 39
	50 34
	51 25
	52 21
	54 17
	55 14
	57 11
	61 7
	64 6
