.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Notepad NCR 3125
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 400
.Y_POINTS_PER_INCH 400
.POINTS_PER_SECOND 100

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.WRITER_ID mg

.PEN_DOWN
2216 3059 599342
2224 3079 599356
2236 3099 599370
2256 3127 599384
2280 3154 599398
2299 3186 599412
2323 3214 599426
2351 3242 599440
2375 3269 599454
2398 3293 599468
2418 3313 599482
2438 3333 599496
2454 3341 599510
2466 3345 599524
2478 3345 599538
2482 3333 599552
2478 3317 599566
2474 3297 599580
2470 3273 599594
2462 3246 599608
2454 3218 599622
2450 3186 599636
2442 3158 599650
2434 3130 599664
2426 3107 599678
2422 3087 599692
2418 3075 599706
2410 3067 599720
2406 3063 599734
2402 3067 599748
2394 3067 599762
2391 3075 599776
2383 3083 599790
2375 3095 599804
2363 3107 599818
2355 3119 599832
2347 3130 599846
2335 3142 599860
2327 3154 599874
2319 3162 599888
2319 3166 599902
2315 3170 599916
2319 3174 599930
2323 3178 599944
2331 3182 599958
2343 3186 599972
2359 3186 599986
2379 3190 600000
2402 3198 600014
2430 3206 600028
2454 3218 600042
2482 3234 600056
2509 3250 600070
2537 3269 600084
2561 3285 600098
2584 3301 600112
2600 3317 600126
2612 3333 600140
2620 3345 600154
2624 3349 600168
2624 3353 600182
2620 3349 600196
2612 3341 600210
2604 3325 600224
2592 3305 600238
2581 3281 600252
2565 3258 600266
2557 3234 600280
2545 3210 600294
2537 3186 600308
2533 3166 600322
2533 3150 600336
2533 3134 600350
2537 3127 600364
2541 3123 600378
2545 3123 600392
2549 3127 600406
2553 3130 600420
2557 3142 600434
2557 3150 600448
2557 3154 600462
2557 3162 600476
2553 3166 600490
2545 3174 600504
2545 3178 600518
2541 3178 600532
2537 3178 600546
2541 3178 600560
2545 3182 600574
2553 3182 600588
2565 3186 600602
2577 3190 600616
2596 3198 600630
2620 3210 600644
2640 3222 600658
2664 3238 600672
2683 3254 600686
2703 3269 600700
2723 3285 600714
2735 3301 600728
2743 3313 600742
2751 3321 600756
2755 3329 600770
2755 3333 600784
2751 3329 600798
2747 3325 600812
2739 3313 600826
2731 3301 600840
2719 3285 600854
2711 3265 600868
2699 3246 600882
2691 3226 600896
2683 3206 600910
2672 3190 600924
2664 3174 600938
2656 3158 600952
2652 3146 600966
2644 3134 600980
2640 3127 600994
2636 3119 601008
2632 3115 601022
2632 3111 601036
2628 3111 601050
2628 3115 601064
2628 3115 601078
2632 3119 601092
2632 3123 601106
2640 3127 601120
2644 3134 601134
2652 3142 601148
2664 3150 601162
2676 3162 601176
2687 3170 601190
2699 3178 601204
2711 3186 601218
2723 3194 601232
2735 3198 601246
2743 3206 601260
2751 3206 601274
2755 3206 601288
2755 3202 601302
2755 3194 601316
2751 3186 601330
2747 3178 601344
2747 3166 601358
2743 3158 601372
2739 3150 601386
2739 3142 601400
2739 3134 601414
2743 3130 601428
2751 3130 601442
2755 3130 601456
2763 3130 601470
2771 3130 601484
2778 3134 601498
2782 3134 601512
2790 3134 601526
2794 3134 601540
2798 3134 601554
2802 3127 601568
2810 3127 601582
2814 3123 601596
2818 3123 601610
2822 3123 601624
2830 3123 601638
2834 3127 601652
2842 3130 601666
2846 3134 601680
2850 3138 601694
2854 3146 601708
2854 3154 601722
2850 3162 601736
2846 3166 601750
2842 3170 601764
2838 3170 601778
2838 3174 601792
2838 3174 601806
2842 3178 601820
2846 3178 601834
2854 3178 601848
2866 3182 601862
2877 3182 601876
2893 3182 601890
2909 3182 601904
2921 3182 601918
2937 3182 601932
2945 3178 601946
2953 3174 601960
2953 3170 601974
2957 3166 601988
2953 3158 602002
2953 3150 602016
2949 3142 602030
2949 3138 602044
2949 3134 602058
2953 3134 602072
2957 3134 602086
2965 3134 602100
2972 3134 602114
2984 3138 602128
2996 3146 602142
3004 3150 602156
3016 3154 602170
3024 3158 602184
3028 3158 602198
3032 3162 602212
3032 3162 602226
3036 3158 602240
3032 3154 602254
3028 3150 602268
3024 3146 602282
3020 3142 602296
3020 3138 602310
3016 3130 602324
3016 3130 602338
3016 3127 602352
3020 3127 602366
3024 3127 602380
3032 3127 602394
3040 3130 602408
3048 3134 602422
3060 3142 602436
3067 3146 602450
3075 3146 602464
3079 3146 602478
3087 3150 602492
3087 3146 602506
3087 3146 602520
3087 3142 602534
3083 3138 602548
3083 3134 602562
3083 3127 602576
3079 3123 602590
3083 3119 602604
3083 3119 602618
3087 3119 602632
3095 3119 602646
3103 3119 602660
3111 3123 602674
3123 3127 602688
3131 3130 602702
3139 3134 602716
3147 3134 602730
3151 3138 602744
3155 3138 602758
3155 3138 602772
3155 3134 602786
3155 3130 602800
3151 3127 602814
3151 3123 602828
3151 3119 602842
3151 3115 602856
3151 3115 602870
3159 3111 602884
3166 3111 602898
3174 3115 602912
3186 3119 602926
3198 3119 602940
3210 3123 602954
3222 3127 602968
3230 3130 602982
3238 3134 602996
3246 3138 603010
3250 3138 603024
3254 3142 603038
3254 3142 603052
3250 3142 603066
3246 3138 603080
3242 3138 603094
3238 3134 603108
3234 3130 603122
3234 3127 603136
3234 3119 603150
3234 3115 603164
3242 3111 603178
3246 3111 603192
3254 3107 603206
3265 3107 603220
3273 3107 603234
3285 3107 603248
3297 3107 603262
3309 3107 603276
3321 3107 603290
3333 3107 603304
3345 3107 603318
3360 3107 603332
3376 3107 603346
