.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Notepad NCR 3125
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 400
.Y_POINTS_PER_INCH 400
.POINTS_PER_SECOND 100

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.WRITER_ID mg

.PEN_DOWN
2323 3460 698152
2327 3456 698166
2327 3452 698180
2327 3436 698194
2327 3416 698208
2327 3396 698222
2323 3373 698236
2323 3345 698250
2319 3317 698264
2315 3289 698278
2311 3258 698292
2311 3230 698306
2307 3202 698320
2303 3178 698334
2299 3150 698348
2299 3134 698362
2296 3123 698376
2296 3115 698390
2296 3111 698404
2296 3111 698418
2299 3115 698432
2303 3123 698446
2307 3134 698460
2311 3150 698474
2319 3174 698488
2331 3194 698502
2343 3218 698516
2355 3246 698530
2371 3269 698544
2383 3293 698558
2398 3317 698572
2414 3337 698586
2426 3357 698600
2438 3377 698614
2454 3392 698628
2462 3400 698642
2470 3404 698656
2474 3408 698670
2478 3404 698684
.PEN_UP
.PEN_DOWN
2470 3305 698838
2470 3289 698852
2466 3277 698866
2466 3265 698880
2462 3250 698894
2458 3238 698908
2450 3222 698922
2446 3202 698936
2442 3186 698950
2438 3174 698964
2434 3166 698978
2430 3158 698992
2430 3154 699006
.PEN_UP
.PEN_DOWN
2482 3269 699132
2486 3289 699146
2493 3305 699160
2497 3321 699174
2501 3337 699188
2501 3345 699202
2505 3353 699216
2509 3357 699230
.PEN_UP
.PEN_DOWN
2588 3313 699398
2596 3317 699412
2604 3321 699426
2608 3325 699440
2612 3329 699454
2608 3329 699468
2608 3329 699482
2608 3325 699496
2604 3321 699510
2604 3317 699524
2600 3313 699538
2596 3305 699552
2596 3297 699566
2592 3289 699580
2592 3281 699594
2588 3269 699608
2588 3258 699622
2588 3250 699636
2584 3238 699650
2584 3230 699664
2584 3218 699678
2584 3206 699692
2584 3198 699706
2581 3190 699720
2577 3182 699734
2573 3174 699748
2569 3170 699762
2565 3162 699776
2557 3158 699790
2549 3154 699804
2541 3150 699818
2533 3150 699832
2529 3150 699846
2521 3150 699860
2517 3150 699874
2517 3154 699888
2513 3154 699902
2517 3158 699916
2521 3166 699930
2529 3170 699944
2541 3174 699958
2549 3182 699972
.PEN_UP
.PEN_DOWN
2620 3226 700042
2636 3230 700056
2644 3238 700070
2652 3242 700084
2656 3242 700098
2660 3246 700112
2660 3242 700126
2664 3242 700140
2660 3234 700154
2660 3230 700168
2656 3222 700182
2656 3214 700196
2652 3206 700210
2652 3202 700224
2656 3198 700238
2660 3194 700252
2668 3194 700266
2676 3194 700280
2683 3194 700294
2691 3198 700308
2699 3202 700322
2707 3206 700336
2711 3210 700350
2719 3214 700364
2723 3218 700378
2727 3218 700392
2727 3218 700406
2727 3214 700420
2723 3210 700434
2723 3206 700448
2719 3202 700462
2719 3194 700476
2719 3190 700490
2719 3186 700504
2723 3182 700518
2727 3178 700532
2735 3178 700546
2743 3178 700560
2751 3178 700574
2759 3182 700588
2767 3186 700602
2775 3190 700616
2782 3194 700630
2786 3202 700644
2794 3202 700658
2794 3206 700672
2798 3206 700686
2794 3202 700700
2794 3202 700714
2794 3198 700728
2790 3194 700742
2790 3190 700756
2786 3182 700770
2786 3182 700784
2786 3178 700798
2790 3174 700812
2794 3174 700826
2798 3174 700840
2802 3174 700854
2810 3178 700868
2814 3178 700882
2822 3182 700896
2826 3186 700910
2830 3190 700924
2830 3190 700938
2830 3194 700952
2830 3190 700966
2830 3190 700980
2830 3190 700994
2830 3186 701008
2830 3182 701022
2830 3182 701036
2834 3178 701050
2838 3174 701064
2846 3174 701078
2854 3170 701092
2862 3166 701106
2873 3162 701120
2881 3158 701134
2893 3150 701148
2905 3146 701162
2913 3138 701176
2917 3134 701190
2921 3127 701204
2925 3123 701218
.PEN_UP
