


.DATE		Aug. 92
.STYLE		MIXED
.WRITER_ID	jhkim
.COUNTRY	Korea
.HAND		R
.AGE		24
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Jeong-hyun
	Last name:				Kim
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	Ph.D course in CS Dept.
	Occupation:				Ph.D course in CS Dept.
	Vision: 

.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	101 4
	104 7
	106 10
	109 11
	112 16
	113 20
	116 22
	117 25
	120 28
	121 31
	118 28
	116 24
	115 19
	114 15
	114 12
	115 9
	119 9
	122 10
	126 11
	129 14
	132 16
	135 20
	138 24
	139 27
	141 30
	141 24
	141 20
	141 17
	141 13
	141 9
	141 6
	141 3
	139 0
	136 1
	135 4
	133 8
	130 10
	132 7
	136 4
	141 1
	144 0
	147 1
	149 1
.PEN_UP
.PEN_DOWN
	124 54
	128 54
	129 54
.PEN_UP
.PEN_DOWN
	121 25
	124 28
	127 31
	130 33
	132 36
	137 39
	141 43
	145 47
	147 50
	148 53
	148 56
	145 55
	142 52
	139 49
	137 46
	136 43
	134 40
	134 37
	133 33
	133 30
	132 24
	132 21
	132 18
	132 14
	131 11
	131 7
	132 3
	135 3
	137 6
	141 9
	144 12
	145 15
	147 19
	150 24
	153 23
	156 21
	159 21
	163 22
	166 25
	169 28
	171 31
	174 34
	178 36
	180 33
	180 30
	180 27
	178 23
	177 20
	177 16
	176 12
	174 8
	174 5
	171 0
	174 0
	179 4
	181 7
	184 9
	187 12
	190 14
	193 17
	195 20
	198 22
	198 25
	202 27
	202 31
	199 32
	197 29
	197 26
	196 23
	193 17
	193 14
	193 10
	193 7
	195 4
	198 4
	201 5
	204 6
	209 10
	212 12
	215 16
	217 19
	220 21
	220 24
	223 27
	223 30
	224 34
	225 37
	226 44
	226 49
	226 52
	226 55
	224 51
	222 48
	220 44
	219 39
	217 33
	216 30
	216 27
	215 24
	215 21
	215 18
	216 13
	216 9
	217 5
	220 4
	223 2
	226 3
.PEN_UP
.PEN_DOWN
	201 38
	205 38
	208 39
	211 39
	214 39
	217 39
	223 39
	226 39
	230 39
	233 39
	237 38
.PEN_UP
.PEN_DOWN
	260 19
	260 22
	260 25
	259 28
	256 29
	253 29
	250 27
	247 24
	244 20
	244 17
	241 14
	241 11
	240 8
	240 4
	241 1
	244 0
	247 3
	251 6
	255 10
	258 13
	261 17
	262 21
	265 23
	267 27
	263 24
	262 21
	261 17
	261 13
	262 10
	264 6
	267 4
	270 4
	273 3
	276 3
	282 3
.PEN_UP
.PEN_DOWN
	192 6
	194 9
	198 12
	201 16
	205 19
	207 23
	211 26
	213 30
	214 33
	214 36
	214 39
	211 37
	212 34
	215 34
	218 32
	221 31
	224 30
	226 27
	227 24
	228 21
	228 18
	226 15
	224 12
	221 9
	221 6
	223 3
	226 0
	229 0
	232 1
	235 3
	238 5
	239 8
	242 9
	246 13
	249 15
	250 18
	251 21
	253 25
	254 29
	254 32
	253 35
	250 35
	246 35
	244 32
	242 28
	242 25
	241 22
	241 19
	241 14
	241 11
	241 7
	243 4
	246 3
	249 2
	252 2
	256 3
	262 5
	265 8
	268 10
	269 14
	271 17
	272 20
	272 23
	274 26
	274 29
	270 27
	267 23
	266 20
	264 16
	263 13
	262 9
	262 6
	265 5
	270 4
	275 4
	278 6
	281 7
	284 8
	287 9
	291 11
	294 13
	296 16
	299 17
	301 16
.PEN_UP
.PEN_DOWN
	312 28
	312 31
	309 32
	306 32
	303 31
	301 28
	297 25
	295 22
	293 18
	292 15
	292 12
	292 9
	295 8
	298 8
	301 11
	304 13
	307 19
	311 22
	313 25
	314 28
	316 31
	318 34
	320 37
	321 40
	323 44
	324 47
	326 51
	329 54
	330 57
	326 56
	323 53
	321 49
	320 46
	318 42
	317 39
	317 36
	316 32
	314 28
	314 25
	314 22
	314 19
	317 19
	321 18
	326 16
.PEN_UP
.PEN_DOWN
	247 6
	249 9
	252 12
	255 14
	258 16
	260 21
	265 24
	266 27
	268 30
	269 33
	272 36
	272 39
	275 44
	275 47
	276 50
	276 53
	273 53
	271 50
	268 46
	267 41
	266 37
	266 34
	266 30
	266 25
	266 20
	266 17
	269 13
	271 10
	275 9
	278 9
	281 10
	283 13
	286 16
	289 19
	292 22
	293 25
	295 28
	298 32
	301 37
	303 41
	305 44
	305 47
	308 49
	309 53
	310 57
	310 60
	308 57
	307 53
	306 49
	305 45
	305 38
	303 35
	303 32
	302 28
	302 25
	300 22
	300 18
	300 15
	299 11
	299 8
	298 4
	299 8
	302 12
	303 15
	305 18
	308 22
	311 25
	315 28
	318 29
	318 26
	317 20
	317 17
	317 13
	317 9
	320 7
	324 7
	327 8
	330 9
	334 11
	337 13
	339 16
	339 20
	339 23
	339 26
	336 27
	334 24
	332 21
	329 16
	329 12
	329 9
	329 6
	329 3
	333 0
	337 0
	340 1
	344 2
	348 3
	351 4
	354 6
	356 7
.PEN_UP
.PEN_DOWN
	249 35
	254 37
	260 39
	263 39
	266 39
	271 39
	274 40
	280 40
	285 40
	292 41
	296 41
	299 41
	302 41
	305 41
.PEN_UP
.PEN_DOWN
	195 10
	195 13
	197 18
	200 22
	202 25
	205 26
	209 29
	212 30
	213 27
	214 24
	214 20
	214 16
	214 13
	213 9
	211 5
	213 8
	218 13
	220 17
	222 20
	225 22
	230 26
	234 30
	235 26
	233 23
	233 20
	233 16
	232 13
	232 10
	231 7
	229 4
	230 7
	232 10
	234 14
	236 17
	239 19
	241 23
	245 26
	246 29
	248 32
	248 29
	248 26
	248 23
	248 19
	247 15
	247 11
	248 7
	251 6
	252 9
	252 12
	253 15
	255 18
	255 15
	254 12
	253 9
	253 5
	255 2
	259 2
	262 5
	265 7
	265 10
	267 14
	268 17
	269 21
	269 24
	269 28
	269 31
	268 35
	264 36
	262 33
	262 30
	261 27
	261 24
	261 21
	264 20
	267 20
	270 20
	274 22
	277 24
	279 27
	282 30
	287 33
	290 36
	292 33
	292 29
	292 26
	292 22
	292 18
	292 15
	292 11
	292 7
	292 4
	289 4
	285 5
	281 7
	277 10
	276 13
	276 16
	275 13
	279 11
	284 9
	289 8
	293 8
	296 9
	299 9
	302 10
	305 12
	308 15
	312 18
	314 21
	315 25
	317 28
	318 32
	318 35
	318 39
	318 42
	318 45
	318 48
	318 45
	315 43
	314 40
	311 36
	309 30
	308 26
	308 23
	308 19
	308 16
	308 11
	309 8
	311 5
	315 2
	318 1
	321 0
	323 0
.PEN_UP
.PEN_DOWN
	295 35
	298 36
	302 36
	305 36
	309 36
	316 35
	319 35
	322 35
	328 35
	333 35
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	232 37
	235 38
	236 41
	239 42
	243 46
	249 53
	251 58
	255 63
	255 66
	257 70
	257 73
	258 76
	258 80
	257 83
	256 80
	256 77
	253 73
	251 70
	250 66
	249 63
	248 59
	247 56
	247 52
	247 48
	247 44
	249 41
	250 38
	253 38
	256 41
	260 43
	263 47
	264 50
	265 53
	266 56
	267 59
	267 62
	267 65
	269 69
	270 72
	271 75
	271 78
	271 81
	272 85
	273 88
	270 86
	269 83
	269 79
	267 76
	266 72
	266 67
	266 61
	266 58
	266 53
	265 49
	265 46
	265 42
	265 39
	264 35
	265 38
	266 42
	268 45
	270 48
	271 51
	274 54
	277 57
	281 60
	284 62
	285 59
	285 55
	286 52
	286 49
	285 46
	285 43
	283 39
	283 36
	287 36
	290 35
	293 36
	293 39
	296 40
	299 43
	302 47
	303 50
	306 57
	308 60
	309 63
	306 60
	306 56
	305 53
	304 50
	304 46
	304 43
	305 40
	308 39
	311 41
	313 44
	315 47
	318 49
	320 52
	321 55
	323 58
	325 61
	326 58
	326 54
	326 51
	325 48
	325 45
	324 42
	323 39
	326 41
	329 44
	331 48
	336 52
	339 54
	340 57
	343 58
	345 61
	345 57
	343 54
	342 51
	342 48
	342 44
	343 41
	346 40
	350 42
	355 45
	359 48
	361 51
	364 54
	366 57
	367 60
	369 63
	369 66
	369 69
	365 69
	361 66
	358 64
	357 61
	355 57
	354 54
	354 51
	353 47
	353 44
	353 41
	354 38
	354 35
	354 31
	354 28
	354 24
	354 21
	354 18
	353 14
	353 11
	351 8
	351 4
	349 0
	346 2
	345 5
	344 8
	343 11
	342 14
	342 17
	342 21
	342 24
	342 27
	342 30
	342 33
	346 35
	349 35
	353 37
	357 38
	360 39
	365 41
	369 43
	372 44
	377 46
	381 47
	384 48
	387 48
	389 48
.PEN_UP
.PEN_DOWN
	226 65
	229 65
	232 65
	238 67
	242 67
	245 67
	249 69
	252 69
	257 70
	260 70
	263 70
	266 70
.PEN_UP
.PEN_DOWN
	309 84
	314 79
	318 77
	321 76
	325 75
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	236 20
	234 23
	237 25
	238 28
	242 30
	245 31
	248 32
	251 32
	251 29
	251 24
	250 20
	249 16
	248 12
	248 9
	247 5
	247 2
	247 6
	250 9
	253 12
	255 15
	259 18
	259 21
	262 22
	265 25
	268 28
	268 23
	267 19
	267 16
	266 13
	266 9
	266 4
	266 1
	270 0
	273 1
	276 2
	278 5
	281 6
	283 9
	286 12
	288 17
	291 20
	292 23
	294 26
	295 25
.PEN_UP
.PEN_DOWN
	311 25
	310 28
	307 31
	304 31
	301 31
	298 29
	295 27
	293 24
	291 20
	290 15
	288 12
	288 9
	288 6
	290 3
	293 2
	296 2
	299 5
	300 8
	303 10
	305 14
	309 17
	312 21
	313 24
	314 27
	312 24
	312 21
	312 17
	312 14
	312 11
	313 8
	316 9
	319 11
	321 14
	324 16
	326 20
	328 24
	331 29
	333 32
	333 37
	335 40
	336 44
	338 48
	339 54
	340 57
	340 60
	337 60
	337 57
	334 53
	333 49
	332 45
	332 41
	330 38
	330 33
	329 29
	329 26
	329 23
	329 19
	329 16
	329 12
	329 9
	330 6
	333 7
	336 10
	339 12
	340 17
	342 21
	344 24
	347 28
	347 31
	350 34
	352 37
	354 40
	354 37
	354 34
	353 31
	353 28
	351 24
	351 20
	350 17
	350 14
