


.DATE		Jul. 93
.STYLE		MIXED
.WRITER_ID	kclee
.COUNTRY	Korea
.HAND		R
.AGE		25
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				KwangChul
	Last name:				Lee
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	45 86
	44 82
	44 78
	44 75
	43 71
	42 67
	41 63
	40 59
	38 49
	36 45
	35 40
	33 36
	32 32
	30 28
	29 24
	27 21
	26 18
	25 15
	24 12
	21 6
	21 3
	20 0
	21 4
.PEN_UP
.PEN_DOWN
	43 68
	46 69
	49 69
	53 67
	56 64
	60 58
	63 54
	65 49
	66 46
	66 42
	67 39
	67 35
	67 31
	67 28
	67 24
	67 19
	67 16
	67 12
	67 9
	67 6
	66 3
	63 5
.PEN_UP
.PEN_DOWN
	49 33
	53 34
	57 35
	60 35
	63 35
	66 35
	69 35
.PEN_UP
.PEN_DOWN
	107 56
	110 57
	111 60
	110 63
	109 66
	107 69
	104 71
	101 74
	98 75
	95 75
	91 73
	90 70
	89 67
	89 63
	89 59
	88 56
	88 50
	88 47
	88 43
	88 40
	88 36
	88 33
	88 29
	88 26
	88 21
	87 16
	87 12
	86 9
	85 6
	84 3
	81 3
	78 6
	75 8
	74 9
.PEN_UP
.PEN_DOWN
	77 38
	81 38
	85 38
	90 38
	95 37
	98 36
	101 36
	103 37
.PEN_UP
.PEN_DOWN
	132 82
	132 79
	131 74
	130 71
	130 68
	128 65
	127 61
	126 57
	125 54
	124 49
	123 46
	121 42
	120 38
	119 32
	118 29
	117 26
	117 21
	116 17
	116 14
	116 11
	118 8
	121 6
	125 6
	128 6
	132 8
	135 10
	137 13
	136 14
.PEN_UP
.PEN_DOWN
	113 45
	116 44
	120 44
	124 44
	127 44
	131 44
	134 44
	137 45
.PEN_UP
.PEN_DOWN
	141 23
	144 22
	147 22
	151 22
	155 22
	159 24
	164 26
	167 29
	168 32
	170 35
	170 38
	170 41
	169 44
	166 46
	163 47
	160 47
	157 46
	154 44
	152 41
	150 38
	149 35
	149 32
	147 28
	146 25
	146 22
	145 18
	146 15
	146 12
	149 9
	152 7
	155 6
	158 6
	162 7
	165 9
	168 12
	171 15
	174 18
	177 21
	179 24
	182 28
	183 31
	184 34
	185 37
	185 41
	185 44
	182 44
	185 42
	188 41
	192 41
	196 41
	200 42
	203 42
	206 43
	209 43
	212 44
	210 41
	208 38
	204 34
	202 30
	200 26
	199 23
	199 19
	199 16
	199 13
	200 10
	203 8
	206 7
	209 7
	213 9
	214 10
.PEN_UP
.PEN_DOWN
	80 111
	79 108
	77 103
	76 99
	73 92
	71 88
	69 83
	67 78
	65 74
	63 68
	60 63
	58 59
	56 55
	54 52
	53 49
	50 45
	48 42
	46 39
	46 41
.PEN_UP
.PEN_DOWN
	85 110
	88 110
	91 108
	92 105
	94 99
	95 96
	96 91
	98 86
	98 82
	98 79
	98 74
	98 65
	97 62
	97 59
	96 56
	95 52
	94 49
	93 44
	91 40
	91 37
	90 34
	87 32
	84 34
	82 37
	80 41
	78 44
	76 47
	73 49
	71 52
	70 55
	69 58
	69 61
	70 64
	72 67
	75 69
	78 70
	81 70
	84 70
	88 70
	94 69
	97 68
	100 68
	104 65
	107 64
	110 61
	110 63
.PEN_UP
.PEN_DOWN
	143 54
	146 55
	150 57
	151 60
	153 63
	152 68
	151 71
	149 74
	145 77
	142 79
	137 80
	134 79
	131 78
	129 75
	127 72
	126 68
	125 63
	125 60
	125 56
	126 52
	129 50
	135 50
	138 51
	141 54
	144 56
	146 59
	147 62
	148 65
	149 68
	146 66
	145 63
	144 57
	142 53
	141 48
	139 43
	138 40
	137 37
	136 34
	135 31
	133 25
	132 22
	131 19
	129 14
	126 10
	124 7
	121 4
	118 2
	115 0
	112 0
	109 0
	106 1
	103 4
	101 7
	99 10
	98 13
	97 17
	97 22
	97 26
	98 29
	101 32
	105 34
	111 35
	114 36
	118 37
	121 37
	124 37
	127 37
	130 38
	133 38
	138 38
	144 38
	147 38
	150 38
	152 38
.PEN_UP
.PEN_DOWN
	174 66
	171 65
	168 64
	164 60
	161 56
	158 49
	157 44
	157 40
	157 37
	159 33
	162 30
	166 28
	171 28
	174 28
	178 29
	181 30
	186 34
	189 36
	192 38
	194 41
	196 45
	198 48
	199 53
	200 61
	200 65
	200 69
	200 72
	198 76
	195 79
	192 79
	189 79
	181 79
	178 79
	175 78
	172 75
	168 72
	166 68
	164 65
	163 60
.PEN_UP
.PEN_DOWN
	88 75
	86 72
	84 68
	81 63
	80 60
	78 57
	76 54
	73 50
	71 46
	69 42
	66 38
	61 30
	58 27
	56 23
	54 20
	52 17
	51 14
	49 10
	46 7
	46 11
	47 16
	48 19
.PEN_UP
.PEN_DOWN
	85 74
	88 75
	91 75
	94 74
	96 71
	96 67
	97 63
	97 60
	98 55
	98 52
	98 49
	98 46
	98 43
	98 40
	98 36
	98 33
	98 29
	98 26
	98 23
	97 20
	97 14
	97 11
	96 7
	95 4
	95 1
	92 3
	90 7
	88 11
	87 14
.PEN_UP
.PEN_DOWN
	73 37
	76 37
	79 37
	84 38
	90 38
	93 38
	96 38
	98 37
.PEN_UP
.PEN_DOWN
	102 9
	106 9
	110 10
	113 12
	117 16
	120 19
	124 23
	125 26
	128 31
	130 35
	131 39
	133 43
	135 51
	136 55
	137 59
	138 63
	139 66
	140 69
	141 72
	141 75
	138 76
	135 74
	132 71
	130 68
	129 65
	126 59
	125 55
	123 52
	122 48
	122 44
	122 40
	122 36
	122 32
	123 29
	124 26
	124 22
	127 17
	129 13
	132 11
	135 8
	138 8
	140 9
.PEN_UP
.PEN_DOWN
	173 37
	171 40
	168 43
	164 44
	159 45
	155 44
	152 43
	149 42
	149 38
	152 36
	156 33
	160 31
	163 29
	167 25
	169 21
	169 18
	169 15
	167 12
	162 8
	158 6
	154 6
	150 7
	147 8
	144 10
	142 13
	142 17
	142 20
	144 21
.PEN_UP
.PEN_DOWN
	184 33
	181 32
	178 29
	176 26
	174 22
	173 15
	173 11
	174 7
	177 3
	180 1
	183 0
	187 0
	191 0
	195 1
	199 3
	203 7
	207 11
	209 14
	212 21
	213 25
	214 28
	215 32
	217 36
	217 40
	217 43
	215 46
	212 47
	207 49
	204 49
	201 49
	198 49
	195 49
	192 49
	188 47
	184 45
	182 42
	180 39
	179 36
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	54 50
	59 53
	62 55
	66 57
	69 59
	72 62
	75 64
	78 67
	81 70
	83 73
	85 76
	84 73
	83 70
	81 66
	80 62
	79 58
	77 51
	75 46
	73 41
	71 36
	69 32
	66 27
	64 24
	61 21
	59 18
	56 16
	55 13
	53 10
	52 7
	50 4
	50 7
	52 10
	53 13
	54 16
	56 20
	57 24
	60 27
	61 30
	64 33
	65 36
	67 39
	70 44
	72 47
	74 51
	77 55
	78 58
	80 61
	83 64
	86 67
	90 70
	93 72
	97 73
	101 73
	104 73
	107 71
	110 68
	112 65
	112 62
	111 59
	110 55
	109 52
	109 49
	107 46
	105 43
	102 40
	99 38
	96 38
	93 37
	87 37
	84 37
	81 38
	77 40
	76 43
	79 45
	82 45
	85 45
	88 44
	90 41
	93 39
	94 36
	94 33
	95 30
	95 27
	95 24
	94 21
	94 18
	93 15
	92 12
	91 9
	88 6
	84 4
	81 3
	78 2
	75 2
	71 2
	68 4
	64 7
	60 10
	57 11
	55 14
	57 17
	59 17
.PEN_UP
.PEN_DOWN
	120 42
	117 36
	116 33
	114 28
	113 25
	112 22
	111 19
	109 14
	107 10
	107 7
	108 4
	111 2
	114 2
	117 3
	120 4
	123 5
	126 7
	129 9
	132 11
	135 15
	137 20
	140 25
	142 29
	144 33
	147 36
	148 39
	147 42
	145 39
	143 35
	141 31
	140 28
	139 25
	138 22
	137 19
	136 16
	135 13
	135 10
	135 7
	135 4
	137 1
	140 0
	143 0
	146 2
	149 5
	152 8
	155 10
	158 13
	161 17
	164 22
	167 27
	168 30
	170 33
	173 39
	174 42
	176 45
	177 48
	180 53
	183 58
	185 63
	188 67
	190 72
	191 76
	192 79
	189 79
	187 76
	186 73
	184 70
	182 67
	181 64
	179 60
	177 57
	176 52
	174 47
	172 43
	171 38
	170 34
	169 30
	169 26
	169 23
	170 20
	171 17
	171 14
	172 11
	174 8
	177 7
	180 8
	183 9
	186 11
	188 11
.PEN_UP
.PEN_DOWN
	159 45
	163 45
	167 44
	171 44
	176 44
	180 43
	183 43
	187 42
	190 42
	194 42
	197 42
	194 43
	193 43
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	81 118
	80 115
	79 112
	79 109
	78 106
	77 103
	77 100
	76 96
	75 91
	74 88
	73 85
	73 81
	71 78
	70 75
	68 70
	67 67
	66 64
	64 61
	63 58
	61 55
	59 52
	57 49
	55 46
	53 42
	50 39
	47 37
	44 35
	43 38
	42 41
	44 44
	47 46
	50 47
	53 48
	56 46
	59 44
	62 43
	65 42
	68 41
	71 40
	74 40
	77 40
	80 40
	83 40
	86 40
	89 41
	92 42
	95 43
	98 44
	101 46
	104 47
	107 49
	110 51
	113 54
	115 57
	117 60
	120 64
	121 67
	121 70
	122 73
	122 76
	122 79
	122 82
	121 85
	121 88
	120 91
	120 94
