


.DATE		Jul. 93
.STYLE		MIXED
.WRITER_ID	kclee
.COUNTRY	Korea
.HAND		R
.AGE		25
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				KwangChul
	Last name:				Lee
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	73 72
	70 74
	67 75
	64 76
	61 77
	58 77
	55 77
	52 76
	49 74
	45 71
	42 68
	39 65
	36 61
	34 58
	33 54
	32 51
	30 47
	30 43
	29 40
	29 37
	28 34
	27 31
	27 26
	27 23
	27 20
	28 17
	29 14
	31 10
	34 8
	38 7
	42 9
	45 9
	48 9
	51 11
	54 14
	58 17
	60 20
	61 23
	63 26
	65 29
	67 32
	69 36
	70 39
	71 43
	72 46
	73 49
	74 52
	75 55
	75 58
	75 61
	74 64
	72 61
	71 58
	71 55
	71 51
	70 48
	70 45
	70 42
	69 39
	69 35
	69 32
	70 29
	71 26
	72 23
	74 20
	75 17
	78 14
	79 11
	82 9
	85 9
	88 10
	89 12
.PEN_UP
.PEN_DOWN
	93 59
	96 61
	99 64
	102 66
	105 68
	108 67
	111 64
	113 61
	116 58
	119 57
	122 56
	126 56
	130 57
	134 58
	137 59
	140 61
	143 63
	144 66
	141 67
	138 65
	137 62
	136 59
	135 56
	134 52
	133 48
	132 44
	131 40
	130 36
	129 32
	128 28
	127 24
	125 19
	123 15
	121 12
	120 9
	117 6
	113 3
	110 2
	107 2
	104 3
	102 6
	100 9
	99 12
	99 15
	100 17
.PEN_UP
.PEN_DOWN
	115 33
	119 34
	123 34
	126 34
	132 36
	135 36
	138 37
	141 38
	144 40
	142 37
	141 34
	140 31
	140 28
	143 26
	146 27
	146 28
.PEN_UP
.PEN_DOWN
	165 60
	168 63
	171 65
	174 66
	177 66
	179 63
	180 60
	183 57
	186 56
	189 55
	193 55
	196 55
	200 55
	204 56
	207 57
	209 60
	206 61
	203 60
	202 57
	200 54
	199 51
	198 48
	196 44
	195 40
	193 36
	192 33
	190 29
	188 23
	186 20
	184 17
	181 13
	178 10
	175 8
	172 5
	169 4
	166 3
	163 4
	160 7
	159 10
	158 13
	158 16
.PEN_UP
.PEN_DOWN
	253 55
	253 58
	251 61
	248 64
	245 66
	241 67
	238 67
	235 67
	232 66
	229 65
	226 64
	223 61
	221 58
	219 55
	219 52
	218 49
	218 46
	218 43
	220 40
	223 37
	226 37
	229 37
	232 37
	236 37
	239 39
	239 42
	236 44
	233 44
	230 43
	227 42
	224 39
	222 36
	220 33
	219 30
	217 27
	217 24
	216 21
	215 18
	215 15
	216 12
	218 9
	221 6
	226 4
	229 4
	232 4
	235 5
	239 6
	243 8
	247 10
	251 12
	252 13
.PEN_UP
.PEN_DOWN
	271 60
	275 61
	278 62
	280 59
	279 55
	278 52
	276 48
	274 45
	272 38
	269 34
	266 29
	263 24
	260 20
	256 16
	252 11
	250 8
	250 11
	252 15
	254 18
	256 21
	259 25
	261 29
	264 32
	268 36
	271 40
	277 45
	280 47
	283 49
	286 51
	289 54
	292 56
	295 57
	298 59
	301 59
	304 59
	306 56
	306 52
	306 49
	306 46
	305 43
	305 40
	303 37
	302 34
	300 31
	297 27
	294 25
	291 22
	287 20
	282 19
	278 19
	275 20
	273 23
	273 26
	273 30
	276 33
	279 34
	282 34
	283 31
	283 28
	283 23
	284 20
	285 17
	287 13
	289 10
	292 7
	294 4
	296 1
	299 0
	302 1
	306 3
	308 5
.PEN_UP
.PEN_DOWN
	67 82
	64 76
	63 73
	61 68
	59 64
	58 60
	57 56
	56 53
	55 50
	53 46
	52 43
	50 40
	48 34
	47 31
	45 27
	43 23
	42 20
	42 19
.PEN_UP
.PEN_DOWN
	77 74
	80 70
	81 66
	83 63
	84 58
	84 53
	85 49
	85 46
	85 43
	85 40
	85 34
	85 31
	85 28
	85 24
	85 21
	85 16
	85 12
	85 9
	85 5
	84 2
	82 2
.PEN_UP
.PEN_DOWN
	62 39
	66 39
	69 39
	73 40
	76 40
	79 40
	82 40
	85 40
	86 39
.PEN_UP
.PEN_DOWN
	137 60
	135 63
	134 66
	131 69
	128 72
	125 73
	121 74
	118 73
	114 71
	112 68
	109 65
	107 60
	103 54
	102 51
	101 48
	100 45
	99 42
	99 39
	98 36
	98 33
	98 30
	98 27
	98 24
	100 18
	104 14
	107 13
	111 13
	115 13
	119 14
	124 17
	127 19
	130 21
	131 23
.PEN_UP
.PEN_DOWN
	123 39
	126 40
	130 41
	134 41
	139 42
	142 43
	140 40
	137 37
	135 33
	134 29
	133 26
	132 22
	131 18
	130 15
	129 12
	130 11
.PEN_UP
.PEN_DOWN
	182 76
	178 74
	175 72
	169 69
	165 65
	163 62
	160 60
	158 57
	156 54
	154 51
	153 48
	151 45
	150 41
	149 37
	149 30
	149 27
	149 23
	150 20
	151 17
	153 14
	154 11
	158 7
	161 3
	165 1
	170 0
	175 0
	178 0
	183 4
	187 6
	190 9
	193 12
	195 16
	200 25
	203 30
	204 35
	206 40
	207 44
	207 48
	207 52
	207 55
	206 58
	205 61
	202 65
	198 69
	195 71
	192 72
	189 73
	185 74
	182 74
	177 74
	172 74
	169 73
	166 69
.PEN_UP
.PEN_DOWN
	96 51
	94 55
	93 58
	91 61
	88 63
	85 65
	82 66
	78 67
	74 67
	71 67
	68 67
	65 67
	61 66
	58 63
	56 60
	54 57
	52 54
	51 49
	49 45
	47 38
	46 35
	46 32
	45 29
	45 24
	45 21
	45 18
	45 14
	48 9
	51 7
	54 6
	58 6
	62 6
	67 6
	72 9
	75 11
	78 15
	80 19
	81 22
	83 27
	84 30
	85 33
	86 38
	87 41
	89 45
	89 48
	86 49
	86 46
	85 42
	85 39
	84 35
	83 30
	82 25
	82 22
	82 15
	83 11
	84 8
	86 5
	89 3
	93 0
	96 0
	97 1
.PEN_UP
.PEN_DOWN
	117 73
	115 69
	114 66
	114 63
	113 60
	112 57
	112 51
	111 47
	109 43
	108 39
	107 35
	106 32
	105 29
	103 26
	102 23
	101 20
	99 17
	97 13
	94 11
	91 9
	88 11
	87 15
	88 18
	89 21
	92 22
	95 21
	97 18
	100 15
	102 12
	105 10
	108 8
	111 6
	114 4
	117 3
	120 3
	123 4
	126 4
	129 5
	132 6
	135 7
	136 8
.PEN_UP
.PEN_DOWN
	136 8
	139 9
	142 10
	145 13
	148 16
	150 19
	153 22
	154 25
	156 28
	158 32
	160 37
	162 40
	163 43
	164 46
	165 49
	166 52
	167 55
	168 58
	169 61
	169 64
	169 67
	169 70
	169 73
	170 76
	170 79
	170 82
	167 83
	164 83
	163 80
	163 77
	163 74
	163 71
	164 68
	164 65
	164 62
	164 59
	164 56
	165 53
	165 50
	166 46
	166 43
	166 40
	167 36
	167 33
	168 30
	168 27
	168 24
	168 21
	168 18
	167 15
	166 12
	164 9
	162 6
	159 5
	156 5
	153 5
	150 6
	148 9
	145 11
	143 14
	142 17
	141 20
	141 23
	141 26
	144 23
	145 20
	147 17
	147 14
	148 11
	149 11
.PEN_UP
.PEN_DOWN
	232 70
	229 72
	226 72
	222 72
	219 72
	216 72
	213 72
	209 69
	206 67
	203 65
	200 63
	197 60
	195 57
	193 54
	192 51
	190 48
	188 43
	186 39
	185 35
	185 31
	184 27
	184 24
	184 19
	184 16
	185 13
	187 10
	189 7
	192 6
	195 5
	198 4
	201 4
	204 4
	207 4
	210 6
	213 7
	217 10
	219 13
	222 15
	225 18
	228 21
	231 26
	233 30
	235 34
	237 38
	238 41
	240 45
	240 48
	240 52
	240 56
	239 60
	238 63
	237 66
	236 69
	233 70
	230 70
	231 67
	231 64
	233 61
	236 60
	239 60
	242 61
.PEN_UP
.PEN_DOWN
	58 94
	61 96
	64 96
	67 96
	68 93
	69 90
	68 86
	68 83
	68 79
	67 73
	66 69
	66 64
	65 60
	63 56
	62 53
	60 46
	59 43
	58 40
	57 37
	55 32
	54 29
	52 24
	50 19
	47 12
	45 9
	44 6
	43 3
	41 0
	42 4
	43 7
	45 11
	46 14
	47 17
	49 22
	50 26
	51 30
	52 33
	53 37
	55 41
	57 46
	59 51
	61 54
	63 57
	65 61
	67 64
	70 68
	72 71
	75 74
	77 77
	80 80
	85 84
	88 85
	91 87
	94 88
	97 88
	100 88
	103 87
	106 87
	109 85
	111 82
	112 79
	112 76
	112 73
	112 69
	111 64
	110 60
	108 57
	106 54
	102 50
	100 47
	97 46
	94 45
	91 44
	88 44
	85 44
	82 45
	79 46
	76 48
	73 49
	72 52
	75 54
	78 55
	81 55
	84 54
	86 51
	88 48
	89 45
	90 42
	92 39
	92 36
	92 32
	91 29
	91 26
	90 23
	89 20
	87 16
	85 13
	82 11
	79 9
	76 7
	73 6
	70 6
	67 7
	64 9
	62 12
	59 14
	56 17
	55 20
	56 23
	58 26
.PEN_UP
.PEN_DOWN
	162 42
	165 45
	166 48
	166 51
	166 54
	165 57
	163 60
	162 63
	160 66
	159 69
	156 72
	153 75
	150 77
	147 79
	144 80
	141 80
	138 79
	134 77
	131 75
	128 74
	125 71
	122 68
	120 65
	119 61
	117 57
	116 52
	115 48
	114 45
	113 40
	113 36
	112 31
	112 27
	112 24
	114 21
	115 18
	118 16
	121 14
	124 13
	127 13
	132 14
	135 15
	139 17
	142 19
	145 21
	147 24
	150 27
	152 30
	154 33
	156 36
	159 40
	160 43
	161 46
	162 49
	162 53
	161 50
	160 45
	160 41
	160 38
	160 35
	160 32
	160 29
	162 26
	164 23
	167 21
	170 21
.PEN_UP
.PEN_DOWN
	230 61
	231 64
	231 68
	230 71
	230 74
	229 77
	228 80
	226 83
	223 85
	220 87
	217 89
	214 91
	211 91
	208 91
	205 91
	202 88
	200 85
	197 82
	196 79
	193 76
	192 73
	190 70
	189 67
	187 64
	186 61
	185 58
	184 54
	183 51
	182 48
	182 44
	181 41
	181 38
	181 35
	182 32
	182 29
	184 26
	186 23
	189 21
	192 19
	195 18
	198 18
	201 17
	204 16
	207 17
	210 19
.PEN_UP
.PEN_DOWN
	268 91
	266 88
	265 85
	264 82
	263 79
	262 76
	261 72
	259 68
	256 62
	254 58
	252 54
	250 50
