


.DATE		Aug. 92
.STYLE		PRINTED
.WRITER_ID	scoh
.COUNTRY	Korea
.HAND		R
.AGE		27
.SEX		M
.SKILL		OK
.WRITER_INFO
	First name:				Sechang
	Last name:				Oh
	Native language: 		Korean
	Other languages: 		English
	Place of Birth: 		Korea
	Where educated: 		Korea
	Place of Residence:		Korea
	Computer experience: 	student in CS Dept.
	Occupation:				student in CS Dept.
	Vision: 

.PEN_DOWN
	45 24
	45 27
	47 30
	50 33
	53 35
	56 37
	60 39
	63 36
	64 32
	64 29
	63 25
	62 22
	61 19
	59 16
	59 13
	57 10
	56 7
	52 3
	50 0
	50 3
	51 6
	54 12
	55 15
	57 19
	61 23
	66 26
	69 30
	75 34
	80 35
	80 31
	80 28
	80 25
	78 21
	76 17
	74 14
	72 11
	70 7
	72 11
	73 15
	75 18
	78 22
	82 25
	85 28
	90 31
	94 32
	97 32
	97 29
	97 26
	96 23
	95 20
	95 17
	95 13
	99 12
	103 14
	106 17
	110 20
	113 23
	117 25
	119 29
	122 30
	125 34
	130 38
	133 41
	136 44
	135 41
	132 37
	129 34
	125 31
	124 26
	120 24
	119 21
	115 17
	113 13
	113 10
	111 7
	110 4
	110 1
	113 0
	116 3
	119 6
	122 9
	125 14
	128 18
	132 23
	132 26
	134 29
	136 33
	136 36
	136 39
	136 36
	136 32
	135 28
	135 25
	135 21
	135 18
	138 16
	141 18
	144 21
	147 23
	150 27
	152 30
	155 32
	158 35
	161 38
	164 38
	165 35
	165 32
	164 28
	163 25
	161 22
	159 19
	157 16
	160 18
	163 22
	166 25
	169 28
	173 32
	177 36
	180 34
	180 31
	180 28
	180 25
	180 22
	180 19
	181 16
	184 14
	187 16
	189 19
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
0 0
.PEN_UP
.PEN_DOWN
	53 23
	56 25
	61 28
	64 32
	67 34
	71 37
	75 42
	78 45
	81 50
	83 53
	84 56
	85 59
	85 63
	85 66
	82 67
	79 67
	76 65
	74 61
	71 57
	69 53
	69 49
	67 46
	67 43
	67 40
	67 37
	66 31
	65 27
	65 24
	65 20
	65 16
	65 12
	65 9
	66 5
	68 2
	71 0
	74 1
	76 4
	79 8
	80 11
	82 14
	83 17
	86 19
	87 23
	87 26
	88 29
	88 32
	87 29
	88 26
	92 25
	95 25
	98 26
	103 29
	106 30
	110 33
	111 29
	109 26
	109 23
	109 19
	109 16
	112 14
	115 14
	118 16
	122 19
	125 21
	127 25
	130 28
	132 31
	131 28
	131 25
	131 21
	131 18
	134 17
	138 19
	142 23
	145 28
	146 32
	148 35
	149 39
	152 42
	154 46
	158 52
	159 55
	160 58
	163 63
	164 66
	162 62
	161 57
	160 54
	158 49
	156 42
	155 38
	155 33
	155 29
	155 24
	155 21
	158 19
	161 19
	165 19
.PEN_UP
.PEN_DOWN
	136 56
	139 54
	143 54
	151 54
	156 55
	161 55
	164 55
	168 57
	172 57
	175 57
	178 58
	178 60
.PEN_UP
.PEN_DOWN
	77 41
	75 38
	72 33
	70 29
	68 26
	63 20
	61 17
	59 14
	58 9
	56 6
	55 3
	55 0
	58 0
	62 3
	64 7
	67 12
	71 16
	73 22
	74 25
	76 28
	77 31
	77 34
	78 38
	79 41
	79 37
	79 34
	79 31
	79 26
	80 22
	81 19
	82 16
	83 13
	87 11
	91 10
	94 10
	97 10
	100 11
	103 11
.PEN_UP
.PEN_DOWN
	67 2
	69 5
	70 8
	72 12
	74 15
	76 19
	77 22
	81 23
	84 26
	87 29
	91 33
	94 33
	97 33
	100 30
	100 27
	100 23
	100 20
	100 17
	100 13
	100 10
	100 6
	100 3
	103 0
	106 1
	110 3
	112 6
	116 8
	119 10
	123 15
	126 17
	128 20
	130 23
	131 27
	131 30
	130 33
	127 34
	124 34
	121 33
	119 30
	116 28
	115 24
	114 21
	114 18
	115 14
	115 11
	117 8
	121 5
	124 5
	127 5
	130 6
	135 7
	140 9
	143 10
	147 12
	150 13
	153 14
	156 17
	158 20
	160 24
	160 28
	157 30
	153 30
	150 30
	148 27
	147 24
	146 21
	146 18
	146 15
	147 12
	150 9
	153 9
	156 9
	159 10
	163 11
	166 12
	169 14
	172 15
	175 16
	178 19
	181 21
	184 22
	186 25
	187 22
	184 20
	182 17
	179 14
	177 11
	177 8
	176 5
	176 2
	179 0
	182 3
	186 8
	189 11
	191 16
	194 21
	195 24
	197 28
	198 32
	201 39
	203 43
	204 47
	205 50
	206 53
	208 58
	209 63
	210 66
	210 72
	210 76
	208 72
	207 68
	207 65
	207 62
	206 57
	206 53
	206 48
	206 45
	206 39
	206 34
	206 31
	208 27
	209 23
	211 19
	211 16
	213 15
.PEN_UP
.PEN_DOWN
	69 3
	72 6
	75 10
	78 14
	80 17
	81 20
	83 24
	85 32
	90 35
	92 39
	95 42
	97 45
	100 47
	101 50
	104 53
	106 57
	109 60
	109 57
	109 54
	106 48
	105 44
	103 40
	103 37
	101 34
	101 30
	99 25
	99 22
	99 18
	99 12
	101 8
	104 8
	108 9
	112 9
	116 11
	121 14
	127 16
	130 18
	132 21
	136 26
	139 28
	144 37
	147 42
	148 45
	150 49
	150 53
	150 58
	149 62
	146 62
	143 62
	140 61
	136 58
	133 57
	130 53
	127 49
	126 46
	124 41
	122 36
	120 33
	119 30
	118 27
	117 24
	116 21
	113 16
	113 13
	110 10
	109 6
	107 3
	107 0
	110 4
	113 8
	114 11
	118 12
	120 15
	124 17
	127 18
	130 20
	132 16
	133 13
	133 10
	133 7
	136 4
	140 4
	143 6
	148 8
	151 12
	154 16
	154 19
	151 21
	148 20
	145 19
	144 16
	142 13
	142 10
	142 7
	145 5
	148 5
	151 5
	156 5
	159 7
	161 7
.PEN_UP
.PEN_DOWN
	72 38
	75 38
	78 38
	84 38
	90 39
	94 40
	103 41
	106 41
	109 42
	112 42
	116 43
	120 43
	124 43
	128 44
.PEN_UP
.PEN_DOWN
	53 35
	55 38
	58 39
	62 43
	65 44
	68 45
	72 48
	75 47
	75 43
	74 38
	72 35
	70 30
	68 26
	64 21
	62 18
	60 15
	60 18
	62 22
	66 27
	69 34
	72 37
	72 40
	76 43
	79 46
	82 46
	83 43
	83 39
	83 34
	81 30
	80 26
	79 23
	76 22
	76 18
	75 14
	78 18
	81 22
	84 25
	86 30
	89 32
	92 35
	96 37
	99 40
	101 37
	101 33
	101 29
	100 26
	100 23
	98 20
	98 16
	99 13
	102 12
	109 16
	111 19
	115 22
	119 25
	122 28
	125 29
	124 26
	122 23
	120 20
	117 14
	116 10
	116 7
	116 4
	116 1
	119 0
	122 0
	124 3
	127 4
	130 6
	133 9
	135 13
	136 16
	136 20
	136 23
	136 27
	135 31
	134 34
	131 36
	128 37
	125 38
	122 36
	121 33
	121 30
	121 27
	123 24
	126 24
	129 24
	132 25
	136 27
	139 29
	143 32
	147 35
	150 37
	154 41
	157 43
	160 44
	163 46
	165 43
	164 40
	163 36
	160 32
	158 29
	157 25
	154 24
	152 21
	149 19
	146 19
	143 19
	140 22
	137 24
	137 28
	137 31
	140 31
	143 30
	146 29
	151 28
	154 28
	158 29
	162 30
	166 34
	168 37
	171 41
	172 44
	173 47
	173 50
	175 53
	177 56
	178 59
	179 64
	180 68
	181 72
	181 75
	181 78
	178 79
	178 75
	176 71
	175 66
	174 63
	173 58
	173 55
	173 52
	172 49
	172 44
	172 40
	173 37
	174 33
	176 29
	179 27
	182 25
	185 24
	186 24
.PEN_UP
.PEN_DOWN
	161 47
	164 48
	167 48
	172 49
	177 49
	181 50
	184 51
	187 52
	192 52
	196 54
	199 56
	202 56
	205 57
	206 57
.PEN_UP
.PEN_DOWN
	48 45
	51 47
	55 50
	58 51
	61 52
	65 55
	70 57
	73 59
	73 62
	77 64
	81 68
	83 72
	86 76
	90 84
	91 88
	91 92
	90 95
	86 97
	83 97
	81 93
	78 90
	76 87
	76 83
	74 80
	74 77
	72 74
	72 70
	70 66
	69 61
	67 57
	64 50
	63 45
	62 42
	61 38
	60 34
	59 31
	58 28
	57 24
	57 20
	55 17
	55 11
	55 7
	55 4
	55 1
	59 0
	60 3
	63 6
	65 9
	66 12
	66 15
	67 18
	68 22
	68 26
	68 29
	67 32
	66 36
	64 40
	62 43
	60 46
	63 45
	66 45
	69 46
	72 46
	75 48
	78 48
	82 49
	86 50
	91 52
	96 53
	101 54
	104 54
	108 56
	111 58
	114 61
	114 64
	111 64
	108 64
	104 64
	101 62
	97 60
	95 57
	93 54
	93 51
	93 48
	93 45
	93 42
	96 38
	98 35
	104 34
	107 34
	111 36
	114 36
	118 38
	122 41
	125 43
	129 47
	131 50
	133 53
	133 56
	132 59
	129 60
	126 60
	123 59
	120 57
	118 54
	116 51
	116 47
	116 44
	118 41
	121 38
	124 37
	128 37
	132 39
	136 40
	139 42
	142 43
	146 46
	149 49
	152 51
	155 54
	157 57
	160 60
	162 63
	165 65
	167 68
	169 71
	170 74
	171 78
	172 82
	172 85
	173 88
	173 91
	170 94
	168 97
	166 94
	163 92
	162 88
	160 84
	159 81
	158 78
	156 74
	155 71
	154 67
	153 64
	151 60
	151 56
	151 53
	151 50
	152 47
	154 44
	157 41
	160 40
	163 41
	166 43
	168 46
	170 49
	171 52
	171 55
	172 58
	171 61
	170 64
	173 64
	176 65
	179 64
	182 62
	185 62
	188 61
	191 61
	194 62
	198 63
	201 64
	206 66
	211 70
	214 72
	215 76
	217 79
	219 82
	219 85
	222 86
	223 89
	225 92
	226 95
	226 98
	227 101
	227 105
	227 108
	227 111
	224 113
	221 111
	218 109
	217 106
	214 103
	214 100
	212 96
	210 93
	208 90
	206 86
	204 83
	204 80
	202 76
	201 72
	200 67
	199 63
	199 60
	200 57
	202 54
	204 50
	207 47
	210 47
	214 47
	217 48
	221 50
	225 52
	228 54
	231 56
	233 59
	235 62
	235 65
	235 68
	234 71
	231 72
	228 72
	225 71
	223 67
	222 64
	223 59
	224 56
	225 52
	228 49
	231 48
	234 48
	237 48
	240 49
	244 50
	247 50
	251 51
.PEN_UP
.PEN_DOWN
	43 14
	44 17
	48 21
	49 25
	52 29
	56 34
	59 38
	63 43
	64 48
	66 53
	68 56
	68 59
	70 62
	72 66
	73 70
	73 73
	75 76
