.DATA_SOURCE Siemens-AG
.DATA_ID PeP
.DATA_CONTACT
 Siemens AG
 ZFE ST SN 56
 D-81730 Munich
 Germany
 Fax.: ++49 / 89 / 636 2393
 Volkmar Pflug: Tel. ++49 / 89 / 636 49479,
 e-mail: Volkmar.Pflug@zfe.siemens.de
 Gerd Maderlechner: Tel.: ++49 / 89 / 636 3389,
 e-mail: gm@zfe.siemens.de
.DATA_INFO Cursive Handwriting
 German Words

.PAD Notepad NCR 3125
 Electromagnetic resonance sensor
 Untethered pen, tip switch and side button

.X_POINTS_PER_INCH 400
.Y_POINTS_PER_INCH 400
.POINTS_PER_SECOND 100

.COORD X Y T
.HIERARCHY WORD
.STYLE CURSIVE

.COMMENT previously: .WRITER_ID htca1701
.WRITER_ID ht

.PEN_DOWN
874 3041 1502419
874 3014 1502433
874 2978 1502447
874 2942 1502461
874 2907 1502475
874 2867 1502489
874 2828 1502503
874 2792 1502517
874 2757 1502531
874 2729 1502545
870 2701 1502559
870 2682 1502573
870 2666 1502587
870 2658 1502601
866 2654 1502615
866 2658 1502629
862 2670 1502643
859 2686 1502657
855 2705 1502671
851 2729 1502685
851 2757 1502699
847 2792 1502713
847 2828 1502727
847 2867 1502741
847 2907 1502755
847 2946 1502769
851 2986 1502783
855 3022 1502797
866 3061 1502811
874 3097 1502825
882 3128 1502839
898 3160 1502853
910 3184 1502867
922 3207 1502881
934 3227 1502895
950 3243 1502909
961 3259 1502923
973 3266 1502937
985 3274 1502951
997 3274 1502965
1005 3274 1502979
1009 3263 1502993
1009 3251 1503007
1009 3235 1503021
1005 3215 1503035
1005 3195 1503049
1001 3176 1503063
993 3152 1503077
989 3128 1503091
981 3104 1503105
981 3081 1503119
977 3061 1503133
977 3037 1503147
981 3018 1503161
989 2998 1503175
997 2978 1503189
1009 2958 1503203
1017 2939 1503217
1029 2911 1503231
1041 2883 1503245
1049 2852 1503259
1056 2824 1503273
1056 2792 1503287
1056 2757 1503301
1053 2725 1503315
1045 2698 1503329
1033 2666 1503343
1017 2646 1503357
997 2630 1503371
977 2622 1503385
957 2622 1503399
942 2626 1503413
926 2638 1503427
914 2650 1503441
902 2670 1503455
898 2690 1503469
894 2709 1503483
.PEN_UP
.PEN_DOWN
1148 2800 1503973
1151 2800 1503987
1155 2800 1504001
1163 2808 1504015
1171 2816 1504029
1179 2828 1504043
1187 2840 1504057
1199 2856 1504071
1211 2875 1504085
1215 2895 1504099
1223 2915 1504113
1227 2935 1504127
1227 2954 1504141
1231 2970 1504155
1227 2982 1504169
1223 2986 1504183
1215 2982 1504197
1211 2970 1504211
1203 2954 1504225
1195 2927 1504239
1187 2895 1504253
1183 2860 1504267
1183 2820 1504281
1179 2784 1504295
1179 2745 1504309
1183 2709 1504323
1191 2678 1504337
1195 2650 1504351
1207 2634 1504365
1215 2622 1504379
1223 2622 1504393
1235 2634 1504407
1246 2654 1504421
1258 2678 1504435
1270 2701 1504449
1282 2729 1504463
1294 2761 1504477
1306 2788 1504491
1318 2812 1504505
1330 2832 1504519
1341 2852 1504533
1353 2860 1504547
1365 2860 1504561
1377 2852 1504575
1385 2836 1504589
1393 2816 1504603
1401 2788 1504617
1405 2761 1504631
1413 2737 1504645
1413 2709 1504659
1417 2686 1504673
1417 2666 1504687
1417 2654 1504701
1417 2650 1504715
1413 2658 1504729
1405 2674 1504743
1401 2698 1504757
1401 2725 1504771
1397 2757 1504785
1393 2788 1504799
1389 2816 1504813
1389 2844 1504827
1385 2871 1504841
1385 2891 1504855
1385 2907 1504869
1389 2915 1504883
1393 2915 1504897
1401 2907 1504911
1409 2891 1504925
1417 2875 1504939
1425 2856 1504953
1436 2840 1504967
1448 2824 1504981
1460 2808 1504995
1472 2796 1505009
1488 2788 1505023
1500 2788 1505037
1512 2788 1505051
1524 2796 1505065
1531 2808 1505079
1543 2820 1505093
1551 2832 1505107
1559 2848 1505121
1563 2860 1505135
1567 2867 1505149
1571 2871 1505163
1571 2871 1505177
1571 2863 1505191
1571 2852 1505205
1571 2836 1505219
1567 2816 1505233
1567 2792 1505247
1567 2765 1505261
1571 2741 1505275
1571 2713 1505289
1575 2690 1505303
1579 2670 1505317
1591 2654 1505331
1603 2646 1505345
1619 2646 1505359
1634 2646 1505373
1650 2654 1505387
1666 2666 1505401
.PEN_UP
.PEN_DOWN
1587 3077 1505625
1583 3085 1505639
1579 3089 1505653
1575 3089 1505667
1571 3093 1505681
1567 3093 1505695
1567 3089 1505709
1563 3089 1505723
.PEN_UP
.PEN_DOWN
1729 2915 1506185
1725 2911 1506199
1722 2907 1506213
1714 2899 1506227
1710 2883 1506241
1706 2867 1506255
1698 2848 1506269
1694 2824 1506283
1694 2800 1506297
1690 2777 1506311
1694 2749 1506325
1694 2725 1506339
1702 2701 1506353
1710 2682 1506367
1718 2662 1506381
1733 2654 1506395
1749 2650 1506409
1769 2654 1506423
1789 2670 1506437
1813 2690 1506451
1832 2717 1506465
1856 2753 1506479
1880 2792 1506493
1900 2836 1506507
1919 2883 1506521
1939 2931 1506535
1955 2978 1506549
1967 3022 1506563
1975 3057 1506577
1979 3089 1506591
1979 3112 1506605
1975 3128 1506619
1971 3132 1506633
1959 3128 1506647
1947 3112 1506661
1935 3093 1506675
1923 3061 1506689
1912 3033 1506703
1904 3002 1506717
1896 2970 1506731
1892 2939 1506745
1888 2907 1506759
1892 2879 1506773
1900 2856 1506787
1908 2836 1506801
1919 2816 1506815
1927 2804 1506829
1939 2792 1506843
1951 2781 1506857
1963 2773 1506871
1971 2761 1506885
1975 2745 1506899
1979 2733 1506913
1983 2721 1506927
1983 2709 1506941
1987 2694 1506955
1987 2682 1506969
1987 2670 1506983
1991 2662 1506997
1999 2658 1507011
2007 2658 1507025
2014 2666 1507039
2026 2678 1507053
2042 2698 1507067
2058 2725 1507081
2070 2761 1507095
2086 2800 1507109
2098 2844 1507123
